Z    N            M
32   56      -40.76
33   55      -51.26
34   54      -64.30
35   53      -70.70
36   52      -79.77
37   51      -82.38
38   50      -87.38
39   49      -84.19
40   48      -84.08
41   47      -76.63
42   46      -72.41
43   45      -61.55
44   44      -54.11
45   43      -37.06
46   42      -23.41
47   41       -3.08
48   40       14.09
49   39       38.67
50   38       60.28
23   66      192.22
24   65      156.65
25   64      124.94
26   63       94.10
27   62       66.84
28   61       40.67
29   60       19.08
30   59       -1.25
31   58      -18.54
32   57      -34.14
33   56      -47.34
34   55      -59.17
35   54      -68.38
36   53      -76.16
37   52      -81.72
38   51      -85.53
39   50      -87.06
40   49      -85.29
41   48      -81.05
42   47      -75.12
43   46      -67.42
44   45      -58.15
45   44      -45.79
46   43      -30.40
47   42      -13.26
48   41        5.44
49   40       26.28
50   39       49.17
24   66      166.85
25   65      135.40
26   64      102.94
27   63       76.09
28   62       48.12
29   61       27.09
30   60        4.79
31   59      -11.79
32   58      -29.92
33   57      -41.90
34   56      -56.37
35   55      -64.29
36   54      -74.84
37   53      -78.82
38   52      -85.54
39   51      -85.84
40   50      -88.75
41   49      -82.83
42   48      -80.09
43   47      -70.65
44   46      -64.53
45   45      -51.46
46   44      -39.62
47   43      -20.82
48   42       -5.29
49   41       17.00
50   40       36.19
23   68      215.50
24   67      178.66
25   66      145.68
26   65      113.52
27   64       84.96
28   63       57.44
29   62       34.52
30   61       12.81
31   60       -5.84
32   59      -23.24
33   58      -37.44
34   57      -50.73
35   56      -61.38
36   55      -70.67
37   54      -77.49
38   53      -83.10
39   52      -86.16
40   51      -87.80
41   50      -86.64
42   49      -82.21
43   48      -76.05
44   47      -68.16
45   46      -58.32
46   45      -45.78
47   44      -30.44
48   43      -13.28
49   42        5.92
50   41       26.54
24   68      189.10
25   67      156.37
26   66      122.67
27   65       94.49
28   64       65.25
29   63       42.86
30   62       19.27
31   61        1.28
32   60      -18.18
33   59      -31.59
34   58      -47.45
35   57      -56.83
36   56      -68.81
37   55      -74.29
38   54      -82.49
39   53      -84.36
40   52      -88.75
41   51      -86.27
42   50      -86.59
43   49      -78.70
44   48      -74.08
45   47      -62.45
46   46      -54.23
47   45      -37.13
48   44      -23.42
49   43       -2.66
50   42       14.89
24   69      201.10
25   68      166.92
26   67      133.50
27   66      103.69
28   65       74.87
29   64       50.67
30   63       27.64
31   62        7.67
32   61      -11.10
33   60      -27.02
34   59      -41.35
35   58      -53.39
36   57      -64.13
37   56      -72.38
38   55      -79.27
39   54      -84.03
40   53      -87.21
41   52      -87.54
42   51      -86.51
43   50      -83.46
44   49      -77.10
45   48      -68.82
46   47      -58.79
47   46      -46.01
48   45      -30.56
49   44      -13.17
50   43        5.92
24   70      211.77
25   69      177.78
26   68      142.91
27   67      113.46
28   66       83.01
29   65       59.31
30   64       34.46
31   63       15.12
32   62       -5.63
33   61      -20.80
34   60      -37.62
35   59      -48.42
36   58      -61.77
37   57      -68.71
38   56      -78.32
39   55      -81.50
40   54      -87.53
41   53      -86.59
42   52      -88.36
43   51      -83.91
44   50      -82.39
45   49      -72.35
46   48      -65.65
47   47      -52.14
48   46      -39.91
49   45      -20.86
50   44       -5.12
51   43       19.21
24   71      223.87
25   70      188.60
26   69      153.95
27   68      122.95
28   67       92.89
29   66       67.47
30   65       43.15
31   64       21.90
32   63        1.81
33   62      -15.42
34   61      -31.46
35   60      -44.48
36   59      -56.63
37   58      -66.26
38   57      -74.58
39   56      -80.56
40   55      -85.44
41   54      -87.21
42   53      -87.67
43   52      -86.10
44   51      -83.15
45   50      -78.05
46   49      -69.57
47   48      -59.47
48   47      -46.52
49   46      -30.62
50   45      -13.24
51   44        7.85
52   43       30.77
24   72      234.39
25   71      199.60
26   70      163.62
27   69      132.92
28   68      101.32
29   67       76.35
30   66       50.30
31   65       29.66
32   64        7.66
33   63       -8.85
34   62      -26.96
35   61      -39.13
36   60      -53.81
37   59      -62.16
38   58      -73.13
39   57      -77.75
40   56      -85.19
41   55      -85.73
42   54      -88.89
43   53      -85.96
44   52      -85.87
45   51      -79.30
46   50      -75.78
47   49      -63.87
48   48      -55.38
49   47      -37.73
50   46      -23.48
51   45       -0.80
52   44       18.88
24   73      246.54
25   72      210.34
26   71      174.85
27   70      142.70
28   69      111.43
29   68       84.82
30   67       59.26
31   66       36.80
32   65       15.42
33   64       -3.08
34   63      -20.44
35   62      -35.10
36   61      -48.24
37   60      -59.21
38   59      -68.93
39   58      -76.27
40   57      -82.38
41   56      -85.74
42   55      -87.64
43   54      -87.48
44   53      -86.00
45   52      -82.37
46   51      -77.35
